source,park_name,area_ha,park_id,place_id_old,place_id_proposed,match_flag,notes
Vancouver,Creekway Park,,,ChIJDX5iWN1whlQRwiiUycZhmuw,,exact,
Vancouver,McAuley Park,,,ChIJq6oaxVdxhlQRh60Yg_aLLj4,,exact,
Vancouver,West End minipark - CARDERO ST @ COMOX ST (Lord Roberts Field Park),,,ChIJzdD-3yhyhlQR9TvnmTwhdMw,,fuzzy,
Vancouver,West End minipark - JERVIS ST @ BURNABY ST (Jervis Park),,,ChIJVXd-yJRzhlQRX9v0OrdFejs,,fuzzy,
Vancouver,West End minipark - BUTE ST @ HARO ST (Bute Street Pedestrian Walkway Park),,,ChIJD842oIBxhlQRlqBtvXLhgLg,,fuzzy,
Vancouver,6th and Fir (Burrard Slopes Park),,,ChIJQ1sOFchzhlQRoXMYDrzBCi8,,fuzzy,
Vancouver,Street End - Wall St @ Renfrew (Shingle Park),,,ChIJFycHewBxhlQRxQKSKaoey4w,,fuzzy,
Vancouver,East Fraserlands Neighbourhood Park North,,,ChIJveRTKMt1hlQRM8ozUUpVVeI,,uncertain,
Vancouver,Street End - Wall St @ Slocan (Commissioner Park),,,ChIJXayKduNwhlQRCIpah-P90nQ,,fuzzy,
Vancouver,Street End - Wall St @ Penticton (Harbour View Park),,,ChIJCSGA_eJwhlQRJo-DM9T0oVw,,fuzzy,
Vancouver,Street End - Wall St @ Nanaimo (Meditation Park),,,ChIJV6yYZh1xhlQRJb41JgTpR54,,fuzzy,
Vancouver,Street End - Wall St @ Kamloops (Portside View Park),,,ChIJ0Ry2keJwhlQRx1QZL7yHxGg,,fuzzy,
Vancouver,Laurel Landbridge Park,,,ChIJjZEhpMRzhlQRXE_k76Ovthk,,exact,
Vancouver,Lilian To Park,,,ChIJ5RWQau9zhlQR7QbpfAPnPME,,exact,
Vancouver,Mont Royal Square Park,,,ChIJYzCnw-F3hlQRENLWmNE7TJU,,fuzzy,
Vancouver,5th and Pine Park,,,ChIJ__-vMMhzhlQRvgmDj4xwh40,,fuzzy,
Vancouver,East Fraserlands Neighbourhood Park South,,,ChIJu-Wa8tp1hlQRoQT6IP3WzW0,,uncertain,
Vancouver,East Park,,,ChIJNf8SCQ9xhlQR0XX0ndH7c-U,,exact,
Vancouver,Gibby's Field Park,,,ChIJz8WExvdxhlQRidQocfyDsGg,,exact,
Vancouver,Kinross Corridor - Middle Park,,,ChIJ97K1cFF1hlQRZbJi19XTdwA,,fuzzy,
Vancouver,Kinross Corridor - North Park,,,ChIJ7Xx4ht51hlQRhjfWRhTTv8A,,fuzzy,
Vancouver,Kinross Corridor - South Park,,,ChIJDdlYSlV1hlQR1hzKJVB7Ckc,,fuzzy,
Vancouver,Promontory Park,,,ChIJl6aPJBl1hlQRc7lNZlu_qqQ,,exact,
Vancouver,sθәqәlxenәm ts'exwts'áxwi7 (Rainbow) Park,,,ChIJ91Xo0aRxhlQRRaOE88piwQ4,,fuzzy,
Burnaby,CENTRAL PARK,86.43124668,Burnaby_0,NA,ChIJc6RIWYp2hlQRn1enR_bqb2A,exact,Main park ID only
Burnaby,GEORGE MCLEAN PARK,1.320234601,Burnaby_2,NA,ChIJeZApNfJ2hlQRBkl5DdS55n4,exact,
Burnaby,WESBURN RAVINE PARK,0.328085576,Burnaby_4,NA,ChIJfwIDQTh3hlQR2IcSmppKEwo,exact,
Burnaby,WESBURN PARK,3.490066504,Burnaby_5,NA,ChIJDzRKSAB3hlQRQ6KtnnNUH9c,fuzzy,Alternative: Wesburn Spray Park - ChIJFREVfO92hlQRqzc4mVwcrKA
Burnaby,DISCOVERY PLACE CONSERVATION AREA,2.873836964,Burnaby_6,NA,ChIJKS61DfV3hlQRIvEUMTi7k8E,exact,
Burnaby,AVONDALE PARK,1.502854259,Burnaby_7,NA,ChIJb0USbNx2hlQRlgEmn_YekGE,exact,
Burnaby,BROADVIEW PARK,3.712702351,Burnaby_8,NA,ChIJ74xCONl2hlQRkat0UqHiG-Q,exact,
Burnaby,STILL CREEK CONSERVATION AREA,2.313355042,Burnaby_9,NA,,NONE,NO LOCATION
Burnaby,JIM LORIMER PARK,1.247561722,Burnaby_10,NA,ChIJJUHa9ih3hlQRNLbTZnBaVIs,exact,
Burnaby,BURNABY FRASER FORESHORE PARK,15.44983677,Burnaby_20,NA,ChIJ5QquEQF2hlQRtCOKuJ4Zh1U,fuzzy,Very spread out park
Burnaby,RIVERWAY GOLF COURSE,1.002482239,Burnaby_21,NA,ChIJA0obOhp2hlQRXw4rRS_GuWo,exact,
Burnaby,BOUNDARY CREEK RAVINE PARK,3.643765574,Burnaby_23,NA,,NONE,NO LOCATION
Burnaby,KAYMAR CREEK RAVINE PARK,11.8593931,Burnaby_24,NA,ChIJkTBzFHF2hlQRLCCYot0Z5Pw,fuzzy,
Burnaby,SUNCREST SCHOOL PARK,2.77445745,Burnaby_25,NA,ChIJk2ojTWV2hlQRDpU3m6pEVlM,exact,
Burnaby,WILLINGDON HEIGHTS PARK,5.784743446,Burnaby_86,NA,ChIJk3MmTC13hlQRpBc5ngzc9rI,exact,
Burnaby,WEST-SELLS PARK,0.896037953,Burnaby_88,NA,ChIJr_LGGFtxhlQRC5VWE8jAYHA,exact,
Burnaby,BURNABY HEIGHTS PARK,4.051521065,Burnaby_233,NA,ChIJUVM6OsFwhlQRocviQfwQBYo,exact,
Burnaby,MCGILL PARK,1.435376909,Burnaby_234,NA,ChIJT67BwrhwhlQRoUW5PEDaZzE,exact,
Burnaby,SECOND NARROWS PARK,11.35862431,Burnaby_235,NA,ChIJIZKsD8BwhlQRAMHnVzVhUWk,uncertain,Named Montrose Park
MetroVancouver,Pacific Spirit Regional Park,511.0131713,MetroVancouver_144,NA,ChIJEaF3zSVzhlQRoHELsXvwmDM,fuzzy,Could also include Wreck Beach: ChIJUzqZj0oNhlQRSzlBeYd5v-0
