park_id,source,park_name,area_ha,place_id,match_flag,notes
Vancouver_85,Vancouver,Fraser River Trail Park,0.3998048901977025,ChIJkZyYPuh0hlQR-O6-mDuHWKY,uncertain,"Used ""hudson gateway"""
Vancouver_86,Vancouver,Park Site On Shaughnessy Street,0.5625382674414603,ChIJATo6iOV0hlQRFQbsRk6mgH0,fuzzy,
Vancouver_87,Vancouver,Marpole Park,0.2696471659896872,ChIJaUl9s-t0hlQRgz7XB6izdek,exact,
Vancouver_88,Vancouver,Ebisu Park,0.4209045465718337,ChIJKRZjqO50hlQRFUt8m76rzKw,exact,
Vancouver_89,Vancouver,William Mackie Park,0.4088436410218878,ChIJt8HMwOp0hlQRoABp_Ffp65Q,exact,
Vancouver_90,Vancouver,Eburne Park,0.9008658787533704,ChIJi1Mbee50hlQRKK0mG1GDtUc,exact,
Vancouver_91,Vancouver,Ash Park,0.5135351908077846,ChIJmfKAD_R0hlQR2etVxiSVvu8,exact,
Vancouver_92,Vancouver,Shannon Park,0.943705706788886,ChIJK86qDpF0hlQRY2FkPtkYryw,exact,
Vancouver_93,Vancouver,Oak Park,5.266789260162897,ChIJM_hBYox0hlQRcujRUfx1r24,exact,
Vancouver_94,Vancouver,Winona Park,5.32670002426377,ChIJC5SWvl90hlQRB89ZpxoUHI4,exact,
Vancouver_95,Vancouver,Fraser River Park,9.070290784799784,ChIJi06rTb50hlQRBFFBzgkGIBM,exact,
Vancouver_96,Vancouver,Riverview Park,2.3844258541140406,ChIJLWJQgpZ0hlQR7ZOtwMe5urQ,exact,
Vancouver_97,Vancouver,Arbutus Park,0.7399464288958901,ChIJz4_4Rph0hlQR-dUPngR--es,exact,
Vancouver_98,Vancouver,Deering Island Park,0.6383976311579238,ChIJ2YWjyVdzhlQRbrb5QTvwKQs,exact,
Vancouver_99,Vancouver,Maple Grove Park,4.208258995151404,ChIJ8aj4P550hlQRjTZU5Nstqok,exact,
Vancouver_100,Vancouver,McCleery Park,0.2512430424817359,ChIJK9gkC2FzhlQRXlcBrT9bETA,exact,
Vancouver_101,Vancouver,Musqueam Park,23.765774741392363,ChIJF0eHNERzhlQRvbsIL32Zi6I,exact,
Vancouver_102,Vancouver,Malkin Park,2.4284729881443776,ChIJz07OE2hzhlQRIlnM7UC9NLg,exact,
Vancouver_103,Vancouver,Kerrisdale Centennial Park,1.5300032464374087,ChIJMbvsBntzhlQRBbPTAp4qVpY,exact,
Vancouver_104,Vancouver,Cambie Park,0.9349552736341832,ChIJp0x5YWF0hlQRYMKUL3U2BcE,exact,
Vancouver_105,Vancouver,Langara Park,1.2144211866921284,ChIJZzh7dhB1hlQRSlV-04fDXD0,fuzzy,Unclear if includes golf course and perimeter trail
Vancouver_106,Vancouver,Tisdall Park,5.03617000240216,ChIJG6h0OXt0hlQRY4B37Wd5hPs,exact,
Vancouver_107,Vancouver,Montgomery Park,4.029881754480023,ChIJg7fz5n50hlQRo9GXpVhSDlM,exact,
Vancouver_108,Vancouver,Columbia Park,2.7891455857579426,ChIJM302BHF0hlQRqFOUt6e8n90,exact,
Vancouver_109,Vancouver,Oak Meadows Park,4.739711729851576,ChIJafAXZYhzhlQRZ1X6Zx94FeU,exact,
Vancouver_110,Vancouver,Vandusen Botanical Garden,22.36141285031952,ChIJwW3HeIZzhlQRVxJgWI8VjAg,manual,
Vancouver_111,Vancouver,Queen Elizabeth Park,53.28454134129558,ChIJIcZrTvVzhlQRiKTnD03vt7Q,manual,
Vancouver_112,Vancouver,Devonshire Park,1.5286016804984024,ChIJ4eZqHpBzhlQRbF5hkWtQPN8,exact,
Vancouver_113,Vancouver,Elm Park,1.495538521680449,ChIJk1uxP2VzhlQRi5nrQ102bFA,exact,
Vancouver_114,Vancouver,Kerrisdale Park,2.9972151268110285,ChIJuZnNIHpzhlQRH-rkHfIn4bI,exact,
Vancouver_115,Vancouver,Ravine Park,0.9201103401666912,ChIJ8YDE_HZzhlQRHs20Hhi1pyk,exact,
Vancouver_116,Vancouver,Memorial West Park,7.511579628139858,ChIJy6XHNhRzhlQRgMzwOxCqpZ0,exact,
Vancouver_117,Vancouver,Quilchena Park,7.692325821772762,ChIJQR19tJ1zhlQRHjXiVUw7YjQ,exact,
Vancouver_118,Vancouver,Prince Of Wales Park,2.8943266649729624,ChIJy5zamnVzhlQROs6bOMWf3m4,exact,
Vancouver_119,Vancouver,Park Site On Trafalgar Street,0.1364974351413605,ChIJ3StweQBzhlQROdIhlxaHYNU,manual,
Vancouver_120,Vancouver,Balaclava Park,4.898701529605987,ChIJXfWhew1zhlQRxF2EcUJj18U,exact,
Vancouver_121,Vancouver,Chaldecott Park,3.4570534339846892,ChIJ0f6r_RlzhlQRG3hs6hOQHDc,exact,
Vancouver_122,Vancouver,Arbutus Village Park,1.4122582984871996,ChIJNa3NzqFzhlQRKYEj2VkGFK0,exact,
Vancouver_123,Vancouver,Trafalgar Park,4.864674354124592,ChIJFZtqm6BzhlQRViBt0mI2ZIU,exact,
Vancouver_124,Vancouver,Valdez Park,0.7689368807578044,ChIJ1XTxNQ9zhlQRC65vCiN3u-E,exact,
Vancouver_125,Vancouver,Angus Park,0.899249048606294,ChIJOTyt_ZdzhlQRszXvVBYi0ws,exact,
Vancouver_126,Vancouver,Carnarvon Park,4.243831294285206,ChIJU_7O9QdzhlQRT1nFVPrl2yE,exact,
Vancouver_127,Vancouver,Quadra West Park,0.1421102535413312,ChIJeZSkvAZzhlQRQdKZJ08SxVU,exact,
MetroVancouver_128,MetroVancouver,Pacific Spirit Regional Park,511.01317130433546,ChIJEaF3zSVzhlQRoHELsXvwmDM,fuzzy,Could also include Wreck Beach: ChIJUzqZj0oNhlQRSzlBeYd5v-0
Vancouver_129,Vancouver,Granville Park,1.967067406206696,ChIJcbmkHLxzhlQRkMlWXjPgShU,exact,
Vancouver_130,Vancouver,Almond Park,1.614077026317408,ChIJzy68lgFzhlQR3bAMfmlJakQ,exact,
Vancouver_131,Vancouver,Connaught Park,5.998422871135608,ChIJwwg2M65zhlQR4r-M83JybOI,exact,
Vancouver_132,Vancouver,Arbutus Greenway Park,0.6892910731915232,ChIJF391QrBzhlQRw86A7fL1egg,exact,
Vancouver_133,Vancouver,Braemar Park,1.2599339038148545,ChIJr5Ykeo1zhlQRxTFCPQi4ndQ,exact,
Vancouver_134,Vancouver,Douglas Park,5.335434689248188,ChIJAUw1JNRzhlQRCnHVzI24sCs,exact,
Vancouver_135,Vancouver,Heather Park,0.9786709555745248,ChIJmUG1iutzhlQRMbhW_oYYz6s,exact,
Vancouver_136,Vancouver,Shaughnessy Park,1.4511219160960305,ChIJSbuugZVzhlQRTdS00C0zXyY,exact,
Vancouver_137,Vancouver,Lilian To,0.1416529125979901,ChIJ5RWQau9zhlQR7QbpfAPnPME,manual,
Vancouver_138,Vancouver,Willow Park,0.0714570633575584,ChIJI6DcWsNzhlQRkRpRrXP9q0w,manual,
Vancouver_139,Vancouver,Choklit Park,0.0673899881874338,ChIJmYd6Q8RzhlQRnQcUS9mQFVo,manual,
Vancouver_140,Vancouver,Laurel Landbridge Park,0.154060485687299,ChIJjZEhpMRzhlQRXE_k76Ovthk,exact,
