DAUID,db_pop_total,db_pop_valid,n_unique_parks,area_raw,area_cap20,area_cap10,qty_raw,qty_cap20,qty_cap10
59150373,685,685,2,3.57,3.57,3.57,5.2128,5.2128,5.2128
59150375,411,411,0,0.0,0.0,0.0,0.0,0.0,0.0
59150376,459,459,1,1.09,1.09,1.09,2.385,2.385,2.385
59150377,480,480,1,1.62,1.62,1.62,3.3694,3.3694,3.3694
59150378,789,789,0,0.0,0.0,0.0,0.0,0.0,0.0
59150379,573,573,1,1.62,1.62,1.62,2.8225,2.8225,2.8225
59150380,607,607,1,1.62,1.62,1.62,2.6644,2.6644,2.6644
59150381,668,668,1,1.62,1.62,1.62,2.4211,2.4211,2.4211
59150382,598,598,0,0.0,0.0,0.0,0.0,0.0,0.0
59150383,530,530,1,1.62,1.62,1.62,3.0515,3.0515,3.0515
59150384,489,489,0,0.0,0.0,0.0,0.0,0.0,0.0
59150385,486,486,1,13.79,13.79,10.0,28.3654,28.3654,20.5761
59150386,614,614,1,13.79,13.79,10.0,22.4521,22.4521,16.2866
59150387,540,540,1,13.79,13.79,10.0,25.5289,25.5289,18.5185
59150388,816,816,1,13.79,13.79,10.0,16.8941,16.8941,12.2549
59150389,725,725,1,13.79,13.79,10.0,19.0146,19.0146,13.7931
59150390,606,606,1,13.79,13.79,10.0,22.7485,22.7485,16.5017
59150391,526,526,1,13.79,13.79,10.0,26.2084,26.2084,19.0114
59150392,467,467,1,6.9,6.9,6.9,14.7741,14.7741,14.7741
59150393,636,636,2,9.0,9.0,9.0,14.146,14.146,14.146
59150394,614,614,2,9.0,9.0,9.0,14.6528,14.6528,14.6528
59150395,705,705,2,9.0,9.0,9.0,12.7615,12.7615,12.7615
59150396,639,639,1,2.1,2.1,2.1,3.2822,3.2822,3.2822
59150397,411,411,1,2.1,2.1,2.1,5.103,5.103,5.103
59150398,469,469,1,2.1,2.1,2.1,4.472,4.472,4.472
59150399,536,536,1,13.79,13.79,10.0,25.7194,25.7194,18.6567
59150400,767,767,1,13.79,13.79,10.0,17.9734,17.9734,13.0378
59150401,639,639,2,7.2,7.2,7.2,11.2612,11.2612,11.2612
59150402,732,732,1,5.77,5.77,5.77,7.8802,7.8802,7.8802
59150403,646,646,2,7.2,7.2,7.2,11.1391,11.1391,11.1391
59150404,504,504,2,7.2,7.2,7.2,14.2775,14.2775,14.2775
59150405,517,517,1,1.43,1.43,1.43,2.7613,2.7613,2.7613
59150406,702,702,1,5.77,5.77,5.77,8.217,8.217,8.217
59150407,800,800,1,5.77,5.77,5.77,7.2104,7.2104,7.2104
59150408,710,710,2,3.86,3.86,3.86,5.4406,5.4406,5.4406
59150409,480,480,1,2.48,2.48,2.48,5.1585,5.1585,5.1585
59150410,739,739,1,2.48,2.48,2.48,3.3506,3.3506,3.3506
59150412,440,440,1,2.48,2.48,2.48,5.6274,5.6274,5.6274
59150414,583,583,2,7.39,7.39,7.39,12.6683,12.6683,12.6683
