park_id,source,park_name,area_ha,place_id,match_flag,notes,place_id_list,in_file06,in_neither
Vancouver_45,Vancouver,Kensington Park,5.768300829266355,ChIJO8AziRx0hlQRVI1T6sf_Gdo,exact,,['ChIJO8AziRx0hlQRVI1T6sf_Gdo'],True,False
Vancouver_46,Vancouver,Grays Park,1.6172951156451676,ChIJ0Y_5UwR0hlQR-iOTsGZ7xEw,exact,,['ChIJ0Y_5UwR0hlQR-iOTsGZ7xEw'],True,False
Vancouver_47,Vancouver,Riley Park,2.705905344236207,ChIJk2TkDgp0hlQRkWrt4bl_2QM,exact,,['ChIJk2TkDgp0hlQRkWrt4bl_2QM'],True,False
Vancouver_48,Vancouver,Hillcrest Park,7.533767664570319,ChIJy1jYS_RzhlQRAGB4_a8DoeI,exact,,['ChIJy1jYS_RzhlQRAGB4_a8DoeI'],True,False
Vancouver_49,Vancouver,Kingcrest Park,2.4760567998351717,ChIJhShFK6p2hlQRScal2yKlk_Y,exact,,['ChIJhShFK6p2hlQRScal2yKlk_Y'],True,False
Vancouver_50,Vancouver,Brewers Park,1.3867419304657047,ChIJZyqg6a52hlQRP-UiMhm_Sdw,exact,,['ChIJZyqg6a52hlQRP-UiMhm_Sdw'],True,False
Vancouver_51,Vancouver,Glen Park,1.094707183737018,ChIJryDxBQB0hlQRbtirTQEAV5Y,exact,,['ChIJryDxBQB0hlQRbtirTQEAV5Y'],True,False
Vancouver_52,Vancouver,Prince Edward Park,1.217281654082649,ChIJm9c-2_tzhlQRCZ0h-hxuSaw,exact,,['ChIJm9c-2_tzhlQRCZ0h-hxuSaw'],True,False
Vancouver_53,Vancouver,Norquay Park,2.2711646173653475,ChIJdWKlgZh2hlQRzqmlKiCHq5w,exact,,['ChIJdWKlgZh2hlQRzqmlKiCHq5w'],True,False
Vancouver_54,Vancouver,Collingwood Park,1.2710970318952042,ChIJQWLyspZ2hlQRcqZoordgcDc,exact,,['ChIJQWLyspZ2hlQRcqZoordgcDc'],True,False
Vancouver_55,Vancouver,Carleton Park,0.6846958778105309,ChIJqTIU0Op2hlQRnLzWdxS4vXg,exact,,['ChIJqTIU0Op2hlQRnLzWdxS4vXg'],True,False
Vancouver_56,Vancouver,Slocan Park,4.215052562860889,ChIJq74VcLx2hlQRqTLGA5zPWJw,exact,,['ChIJq74VcLx2hlQRqTLGA5zPWJw'],True,False
Vancouver_57,Vancouver,General Brock Park,2.163500758658856,ChIJM0glEqV2hlQRKWLMXS0IhBQ,exact,,['ChIJM0glEqV2hlQRKWLMXS0IhBQ'],True,False
