DAUID,db_count,db_pop_total,db_pop_reach_400,db_pop_reach_800,DA_reach_400,DA_reach_800
59150409,2.0,480.0,328.0,480.0,0.6833333333333333,1.0
59150410,4.0,739.0,350.0,739.0,0.4736129905277402,1.0
59150412,3.0,440.0,347.0,440.0,0.7886363636363637,1.0
59150414,3.0,583.0,583.0,583.0,1.0,1.0
59150415,6.0,807.0,807.0,807.0,1.0,1.0
59150416,5.0,597.0,597.0,597.0,1.0,1.0
59150417,3.0,539.0,297.0,539.0,0.5510204081632653,1.0
59150419,4.0,452.0,452.0,452.0,1.0,1.0
59150420,2.0,530.0,310.0,530.0,0.5849056603773585,1.0
59150421,1.0,630.0,630.0,630.0,1.0,1.0
59150422,6.0,896.0,471.0,896.0,0.5256696428571429,1.0
59150423,5.0,514.0,514.0,514.0,1.0,1.0
59150424,5.0,883.0,883.0,883.0,1.0,1.0
59150425,4.0,414.0,261.0,414.0,0.6304347826086957,1.0
59150426,4.0,685.0,685.0,685.0,1.0,1.0
59150427,6.0,553.0,553.0,553.0,1.0,1.0
59150428,5.0,600.0,600.0,600.0,1.0,1.0
59150429,4.0,574.0,296.0,574.0,0.5156794425087108,1.0
59150430,4.0,524.0,0.0,524.0,0.0,1.0
59150431,6.0,632.0,288.0,632.0,0.45569620253164556,1.0
59150432,5.0,858.0,233.0,858.0,0.2715617715617716,1.0
59150433,4.0,466.0,342.0,466.0,0.7339055793991416,1.0
59150434,3.0,494.0,358.0,494.0,0.7246963562753036,1.0
59150435,3.0,560.0,290.0,560.0,0.5178571428571429,1.0
59150436,4.0,873.0,873.0,873.0,1.0,1.0
59150437,6.0,1212.0,277.0,1212.0,0.22854785478547854,1.0
59150438,3.0,857.0,857.0,857.0,1.0,1.0
59150439,5.0,483.0,483.0,483.0,1.0,1.0
59150440,6.0,682.0,416.0,682.0,0.6099706744868035,1.0
59150442,4.0,668.0,668.0,668.0,1.0,1.0
59150443,4.0,790.0,378.0,790.0,0.47848101265822784,1.0
59150444,5.0,737.0,737.0,737.0,1.0,1.0
59150445,4.0,633.0,633.0,633.0,1.0,1.0
59150446,5.0,544.0,544.0,544.0,1.0,1.0
59150447,3.0,826.0,149.0,826.0,0.18038740920096852,1.0
59150448,4.0,668.0,0.0,668.0,0.0,1.0
59150449,6.0,739.0,0.0,642.0,0.0,0.8687415426251691
59150450,3.0,627.0,0.0,627.0,0.0,1.0
59150451,3.0,501.0,402.0,501.0,0.8023952095808383,1.0
59150452,5.0,420.0,420.0,420.0,1.0,1.0
59150453,5.0,586.0,586.0,586.0,1.0,1.0
59150454,6.0,673.0,673.0,673.0,1.0,1.0
59150455,8.0,843.0,673.0,843.0,0.7983392645314353,1.0
59150457,7.0,743.0,0.0,743.0,0.0,1.0
59150459,5.0,564.0,0.0,564.0,0.0,1.0
59150460,3.0,515.0,0.0,515.0,0.0,1.0
59150461,2.0,352.0,352.0,352.0,1.0,1.0
59150462,2.0,403.0,403.0,403.0,1.0,1.0
59150463,5.0,608.0,608.0,608.0,1.0,1.0
59150465,5.0,554.0,0.0,554.0,0.0,1.0
59150466,4.0,505.0,124.0,505.0,0.24554455445544554,1.0
59150468,6.0,571.0,571.0,571.0,1.0,1.0
59150469,4.0,599.0,599.0,599.0,1.0,1.0
59150470,3.0,536.0,173.0,536.0,0.32276119402985076,1.0
59150471,4.0,679.0,0.0,679.0,0.0,1.0
59150472,3.0,492.0,0.0,368.0,0.0,0.7479674796747967
59150473,4.0,680.0,278.0,680.0,0.4088235294117647,1.0
59150474,4.0,705.0,0.0,705.0,0.0,1.0
59150475,4.0,762.0,338.0,762.0,0.4435695538057743,1.0
59150476,5.0,929.0,161.0,929.0,0.17330462863293863,1.0
59150477,3.0,628.0,212.0,628.0,0.3375796178343949,1.0
59150478,4.0,792.0,792.0,792.0,1.0,1.0
59150479,5.0,464.0,464.0,464.0,1.0,1.0
59150480,3.0,553.0,398.0,553.0,0.7197106690777577,1.0
59150481,2.0,434.0,434.0,434.0,1.0,1.0
59150482,3.0,853.0,0.0,853.0,0.0,1.0
59150483,2.0,503.0,0.0,503.0,0.0,1.0
59150484,3.0,689.0,0.0,689.0,0.0,1.0
59150485,5.0,565.0,0.0,565.0,0.0,1.0
59150486,2.0,547.0,547.0,547.0,1.0,1.0
59150487,6.0,810.0,810.0,810.0,1.0,1.0
59150488,3.0,2132.0,2132.0,2132.0,1.0,1.0
59150489,4.0,1053.0,1053.0,1053.0,1.0,1.0
59150490,3.0,575.0,575.0,575.0,1.0,1.0
59150491,2.0,475.0,475.0,475.0,1.0,1.0
59150492,5.0,603.0,206.0,603.0,0.3416252072968491,1.0
59150493,3.0,426.0,320.0,426.0,0.7511737089201878,1.0
59150494,3.0,390.0,336.0,390.0,0.8615384615384616,1.0
59150495,23.0,624.0,518.0,624.0,0.8301282051282052,1.0
59150496,2.0,574.0,574.0,574.0,1.0,1.0
59150497,2.0,605.0,605.0,605.0,1.0,1.0
59150498,2.0,612.0,612.0,612.0,1.0,1.0
59150499,2.0,590.0,590.0,590.0,1.0,1.0
59150500,3.0,724.0,724.0,724.0,1.0,1.0
