DAUID,salience,satisfaction_sentiment,satisfaction_star,coverage_pct,n_reachable_parks,n_qualifying_parks
59150647,,,,,0,0
59150648,,,,,0,0
59150649,110.1056,0.8536,4.4,100.0,1,1
59150650,135.0763,0.8242,4.3,100.0,1,1
59150651,147.2684,0.8242,4.3,100.0,1,1
59150652,88.8252,0.8242,4.3,100.0,1,1
59150653,205.3942,0.8204,4.35,100.0,2,2
59150654,167.2297,0.8204,4.35,100.0,2,2
59150655,201.6293,0.8204,4.35,100.0,2,2
59150656,,,,,0,0
59150657,23.4834,,,0.0,1,0
59150658,647.9514,0.7855,4.4,100.0,2,2
59150659,843.2956,0.6829,4.4,100.0,2,2
59150660,270.4918,0.6114,4.4,100.0,1,1
59150661,789.3661,0.6924,4.45,100.0,2,2
59150662,,,,,0,0
59150663,1213.1148,0.7215,4.45,100.0,2,2
59150664,1718.5039,0.6838,4.35,100.0,2,2
59150665,578.9474,0.6697,4.4,100.0,1,1
59150666,1196.7213,0.7418,4.45,100.0,2,2
59150667,894.4954,0.7373,4.4,100.0,2,2
59150668,539.961,0.6006,4.45,100.0,2,2
59150669,1214.7059,0.6342,4.4,100.0,3,3
59150670,786.5385,0.6042,4.4333,100.0,3,3
59150671,1346.0803,0.6931,4.425,100.0,4,4
59150672,459.7433,0.7615,4.5,100.0,1,1
59150673,867.8647,0.7775,4.4333,100.0,3,3
59150674,890.7104,0.7984,4.3667,100.0,3,3
59150675,161.5008,0.8204,4.35,100.0,2,2
59150676,,,,,0,0
59150677,,,,,0,0
59150678,646.3621,0.8538,4.6,100.0,1,1
59150679,10136.0382,0.8144,4.6,100.0,2,2
59150680,5964.8876,0.8144,4.6,100.0,2,2
59150681,8738.6831,0.8144,4.6,100.0,2,2
59150682,5985.4305,0.6254,4.3333,100.0,3,3
59150683,1095.8647,0.5853,4.3,100.0,1,1
59150684,6681.5115,0.643,4.22,100.0,5,5
59150685,871.2753,0.5691,4.0333,100.0,3,3
59150686,210.9589,0.6063,3.7,100.0,1,1
59150687,,,,,0,0
59150688,,,,,0,0
59150689,875.5556,0.712,4.4,100.0,2,2
59150690,1579.4872,0.7334,4.45,100.0,4,4
59150691,1064.257,0.7241,4.4333,100.0,3,3
59150692,230.8998,0.7482,4.5,100.0,1,1
59150693,314.8148,0.7482,4.5,100.0,1,1
59150694,,,,,0,0
59150695,496.4286,0.6444,4.3,100.0,1,1
59150696,,,,,0,0
59150697,,,,,0,0
59150698,137.746,0.6063,3.7,100.0,1,1
59150699,164.1791,0.6063,3.7,100.0,1,1
59150700,1377.8706,0.5958,4.0,100.0,2,2
59150701,1269.0972,0.5691,4.0333,100.0,3,3
59150702,2407.9823,0.61,4.125,100.0,4,4
59150703,173.4234,0.6063,3.7,100.0,1,1
59150704,8492.2813,0.643,4.22,100.0,5,5
59150705,7810.8974,0.6522,4.35,100.0,4,4
59150706,1228.3737,0.7327,4.4,100.0,1,1
59150707,986.1111,0.7327,4.4,100.0,1,1
59150708,504.5455,0.649,4.3,100.0,2,2
59150709,356.1254,0.6556,4.3,100.0,2,2
59150710,2280.315,0.5429,4.1333,100.0,3,3
59150711,471.8693,0.5784,4.2,100.0,1,1
59150712,2457.5045,0.5316,4.1,100.0,2,2
59150713,1081.0811,0.5784,4.2,100.0,1,1
59150714,3424.4898,0.4849,4.0,100.0,1,1
59150715,3121.9512,0.5995,4.1,100.0,3,3
59150716,3251.1962,0.5316,4.1,100.0,2,2
59150717,2529.9145,0.61,4.05,100.0,2,2
59150718,1678.6389,0.61,4.05,100.0,2,2
59150719,1986.5772,0.61,4.05,100.0,2,2
59150720,1629.3578,0.61,4.05,100.0,2,2
59150721,202.5052,0.6664,3.95,100.0,2,2
59150722,1933.8843,0.6059,3.9667,100.0,3,3
59150723,2108.1081,0.6059,3.9667,100.0,3,3
59150724,1943.1072,0.61,4.05,100.0,2,2
59150725,176.5873,0.5654,4.2,100.0,1,1
59150726,1791.5058,0.5252,4.1,100.0,2,2
59150727,186.5828,0.5654,4.2,100.0,1,1
59150728,884.4622,0.649,4.3,100.0,2,2
59150729,126.9615,0.5654,4.2,100.0,1,1
