park_id,playground,sports_fields,courts,trails,dog_offleash,water_play,beach_waterfront,picnic,washroom,community_garden,seating_shelter,n_reviews,park_name,area_ha,amenity_type_count
Vancouver_178,0,0,0,0,0,0,0,0,0,0,1,35,May & Lorne Brown Park,0.2512475719142125,1
Vancouver_179,1,0,0,0,0,0,1,0,0,0,1,61,Jean Beaty Park,0.126008566915336,3
Vancouver_18,0,0,0,1,1,0,0,0,1,0,1,369,Everett Crowley Park,38.20533819421404,4
Vancouver_180,1,1,0,1,0,0,1,1,1,0,1,2310,Jericho Beach Park,48.235374409690415,7
Vancouver_181,0,0,0,1,0,0,1,0,0,0,1,39,Seaforth Peace Park,0.792671767245045,3
Vancouver_182,1,0,0,0,0,0,1,0,0,0,1,139,Margaret Pigott Park,0.381529476994867,3
Vancouver_183,1,0,0,0,0,0,1,0,0,0,1,171,Hastings Mill Park,1.2353512248255365,3
Vancouver_184,0,0,0,0,0,0,0,0,0,0,0,20,Park Site on Point Grey at Stephens,0.2290353942419839,0
Vancouver_185,1,0,0,1,0,0,1,1,1,0,1,1100,Locarno Beach Park,14.73526886866686,6
Vancouver_186,0,0,0,0,0,0,1,0,0,0,1,140,Park Site on Point Grey at Trafalgar,0.2905483362687796,2
Vancouver_187,1,0,1,1,1,0,1,1,1,0,1,4265,Kitsilano Beach Park,13.612187785693148,8
Vancouver_188,1,0,0,1,1,0,1,0,1,0,1,634,Emery Barnes Park,0.897458887204571,6
Vancouver_189,1,0,0,0,0,0,0,0,0,0,1,91,Yaletown Park,0.1393031197776503,2
Vancouver_19,1,1,1,0,0,1,0,0,1,0,0,132,Bobolink Park,3.834472389476899,5
Vancouver_190,1,1,0,1,1,0,1,0,1,0,1,3554,Sunset Beach Park,3.6447666940059658,7
Vancouver_191,1,0,0,0,0,1,0,0,1,0,1,235,sθәqәlxenәm ts'exwts'áxwi7 (Rainbow),0.306310884221517,4
Vancouver_192,1,0,0,0,0,0,0,0,1,0,1,734,Victory Square,0.3898039934295843,3
Vancouver_193,1,0,0,0,1,0,0,0,1,1,1,381,Nelson Park,1.166710290358019,5
Vancouver_194,0,0,0,0,0,0,0,0,0,0,1,198,Cathedral Square,0.2677035275192906,1
Vancouver_195,0,0,0,0,0,0,0,0,0,0,1,25,Art Phillips Park,0.1030255958250049,1
Vancouver_196,1,0,0,0,0,0,0,0,0,0,1,57,Barclay Heritage Square,0.6330556629877405,2
Vancouver_197,0,0,0,0,0,0,0,0,0,0,0,46,Portal Park,0.1014385954364399,0
Vancouver_198,1,0,0,0,0,0,1,0,1,0,1,135,Coal Harbour Park,0.954766910002646,4
Vancouver_199,1,0,0,1,0,1,1,0,1,0,1,906,Harbour Green Park,3.202602245264767,6
Vancouver_2,1,0,0,0,0,0,0,0,0,0,1,50,Aberdeen Park,0.9830901024412002,2
Vancouver_200,0,0,0,0,0,0,0,0,0,0,0,25,Cardero Park,0.3262679306708125,0
Vancouver_201,0,0,0,0,0,0,1,0,0,0,1,35,Marina Square,0.631900993408958,2
Vancouver_202,0,0,0,0,0,0,1,0,1,0,1,223,Devonian Harbour Park,4.089583478244414,3
Vancouver_203,1,0,0,1,1,0,1,1,1,0,1,1734,Spanish Banks Beach Park,14.526058613801348,7
Vancouver_204,0,0,0,1,0,0,1,0,0,0,1,794,Vanier Park,21.346225485185112,3
Vancouver_205,0,0,0,0,1,0,1,0,1,0,1,308,Hadden Park,2.965751524179684,4
Vancouver_206,1,0,0,1,0,0,1,0,1,0,1,7847,English Bay Beach Park,9.979982869834672,5
Vancouver_207,1,0,0,0,0,0,1,0,0,0,1,46,Alexandra Park,0.548802922190075,3
Vancouver_208,0,0,0,0,0,0,1,0,0,0,0,64,Morton Park,0.2199306808341635,1
Vancouver_209,1,0,1,1,0,1,1,1,1,0,1,21835,Stanley Park,418.38437933456487,8
Vancouver_21,0,0,0,0,0,0,0,0,0,0,0,1,Promontory Park,0.2954239552547721,0
Vancouver_210,1,0,1,0,1,1,0,1,1,1,1,302,Pandora Park,1.6683105971273458,8
Vancouver_211,1,1,1,0,0,0,1,0,1,0,1,905,Hastings Park - Sanctuary,4.2470978909020465,6
Vancouver_212,0,0,0,0,0,0,0,0,0,0,0,41,Hastings Park - Italian Garden,1.9651454437424531,0
Vancouver_213,1,0,0,0,0,0,0,0,0,0,0,9,Oxford Park,0.2486126935348659,1
Vancouver_214,1,0,0,0,0,0,0,0,0,0,1,63,Callister Park,1.4504921317926012,2
Vancouver_215,0,0,0,0,0,0,0,0,0,0,0,4,Creekway Park,1.3502920753244865,0
Vancouver_216,0,0,0,0,0,0,0,0,0,0,0,19,McGill Park,0.2572962537581882,0
Vancouver_217,0,0,0,0,0,0,0,0,0,0,1,28,Park Site On Trinity Street,0.1595459057514895,1
Vancouver_220,0,0,0,0,0,0,0,0,0,0,0,61,Bates Park,0.3386401141138044,0
Vancouver_222,1,1,1,0,1,0,0,0,1,0,1,532,Andy Livingstone Park,4.219575261419402,6
Vancouver_223,1,1,0,0,0,1,0,0,1,0,1,286,Maclean Park,1.2110010504776327,5
Vancouver_224,1,1,0,0,0,1,0,0,1,1,1,207,Woodland Park,1.5846728154033367,6
Vancouver_225,0,0,0,0,0,0,0,0,0,0,1,85,Sun Yat-sen Gardens Park,0.8142249842000292,1
Vancouver_226,1,1,1,0,0,0,0,0,1,0,1,740,Oppenheimer Park,0.9798935452658916,5
Vancouver_227,1,0,0,0,0,0,1,0,0,0,0,104,CRAB Park at Portside,3.303804497871211,2
