DBUID,DAUID,db_pop,nearest_node,dist_nearest_entrance,reachable_400,reachable_800,snap_flag
59150384005,59150384,113,629459068,480.2,0,1,0
59150385001,59150385,102,8570469165,493.7,0,1,0
59150385002,59150385,114,8572659848,294.8,1,1,0
59150385003,59150385,151,8572659851,191.5,1,1,0
59150385004,59150385,119,8572659844,347.8,1,1,0
59150386001,59150386,217,8572659880,342.2,1,1,0
59150386002,59150386,158,11952341375,126.6,1,1,0
59150386003,59150386,134,8572659891,229.6,1,1,0
59150386004,59150386,105,8572659832,70.9,1,1,0
59150387001,59150387,129,629459134,64.3,1,1,0
59150387002,59150387,192,8572659854,126.5,1,1,0
59150387003,59150387,219,629870756,217.5,1,1,0
59150388003,59150388,81,12156888603,317.7,1,1,0
59150388005,59150388,193,8600033025,238.8,1,1,0
59150388006,59150388,189,8600033022,190.6,1,1,0
59150388009,59150388,353,10609307753,116.1,1,1,0
59150389001,59150389,133,428217775,50.5,1,1,0
59150389002,59150389,218,428217776,150.6,1,1,0
59150389003,59150389,123,8588434366,286.4,1,1,0
59150389004,59150389,114,8588434344,221.6,1,1,0
59150389005,59150389,137,8588429601,514.5,0,1,0
59150390001,59150390,57,8600032922,131.0,1,1,0
59150390002,59150390,445,8600032940,627.4,0,1,0
59150390003,59150390,16,428217695,186.8,1,1,0
59150390004,59150390,88,8600032944,470.3,0,1,0
59150391001,59150391,81,8588429599,516.1,0,1,0
59150391002,59150391,313,13352079316,370.7,1,1,0
59150391003,59150391,132,8588560028,418.0,0,1,0
59150392001,59150392,74,13352079311,467.3,0,1,0
59150392002,59150392,137,8596037595,578.4,0,1,0
59150392003,59150392,0,10187769785,584.2,0,1,0
59150392004,59150392,167,630210081,312.9,1,1,0
59150392005,59150392,89,10187769784,612.6,0,1,0
59150393001,59150393,140,8596037609,386.3,1,1,0
59150393002,59150393,180,11289782927,166.8,1,1,0
59150393003,59150393,178,630210189,114.5,1,1,0
59150393004,59150393,138,630210170,215.5,1,1,0
59150394001,59150394,83,11289782928,180.1,1,1,0
59150394002,59150394,240,630210228,261.5,1,1,0
59150394003,59150394,291,630210234,112.7,1,1,0
59150395001,59150395,271,343355357,58.9,1,1,0
59150395002,59150395,338,13271389318,366.9,1,1,0
59150395003,59150395,96,8596125844,61.8,1,1,0
59150396001,59150396,426,2869357617,161.5,1,1,0
59150396002,59150396,41,9857399851,295.4,1,1,0
59150396003,59150396,116,6955829680,57.1,1,1,0
59150396004,59150396,56,630210332,15.1,1,1,0
59150397001,59150397,175,630210575,291.4,1,1,0
59150397002,59150397,118,8596125880,267.7,1,1,0
59150397003,59150397,118,8596125864,366.6,1,1,0
59150398001,59150398,175,630210415,491.7,0,1,0
59150398002,59150398,206,630210548,391.1,1,1,0
59150398003,59150398,88,630210354,308.9,1,1,0
59150399001,59150399,172,428217777,251.9,1,1,0
59150399002,59150399,154,428217778,403.4,0,1,0
59150399003,59150399,210,630210383,492.0,0,1,0
59150400004,59150400,157,630210447,461.8,0,1,0
59150400005,59150400,224,629870832,318.7,1,1,0
59150400007,59150400,193,629870843,413.9,0,1,0
59150400008,59150400,193,630210427,461.3,0,1,0
59150400009,59150400,0,8588434325,316.8,1,1,0
59150400010,59150400,0,8588560043,503.9,0,1,0
59150401001,59150401,166,630210833,111.3,1,1,0
59150401002,59150401,171,630210825,211.1,1,1,0
59150401003,59150401,161,630210682,472.2,0,1,0
59150401005,59150401,141,630210664,429.0,0,1,0
59150401006,59150401,0,8588560022,470.2,0,1,0
59150402001,59150402,93,8572652611,10.7,1,1,0
59150402002,59150402,105,8572659740,122.6,1,1,0
59150402003,59150402,174,629870885,118.9,1,1,0
59150402004,59150402,189,630210784,95.8,1,1,0
59150402005,59150402,171,630210804,96.0,1,1,0
59150402006,59150402,0,431015670,94.7,1,1,0
59150403001,59150403,121,12572438462,130.7,1,1,0
59150403002,59150403,136,8584170516,41.1,1,1,0
59150403003,59150403,150,630210863,132.7,1,1,0
59150403004,59150403,79,4726963901,163.4,1,1,0
59150403005,59150403,160,11946756573,153.2,1,1,0
59150404001,59150404,151,630211022,310.8,1,1,0
59150404002,59150404,162,8584170499,240.2,1,1,0
59150404003,59150404,191,630210974,199.0,1,1,0
59150405001,59150405,154,12566696112,460.6,0,1,0
59150405002,59150405,189,630211598,280.4,1,1,0
59150405003,59150405,174,630211561,182.8,1,1,0
59150406001,59150406,122,8522343609,104.0,1,1,0
59150406002,59150406,115,8522343613,206.5,1,1,0
59150406003,59150406,225,630211750,376.7,1,1,0
59150406004,59150406,51,630211952,571.1,0,1,0
59150406005,59150406,58,13271397815,510.4,0,1,0
59150406006,59150406,131,5102544612,654.7,0,1,0
59150407001,59150407,126,8826149960,600.2,0,1,0
59150407002,59150407,105,8522343603,351.1,1,1,0
59150407003,59150407,129,8522343594,266.3,1,1,0
59150407004,59150407,168,2867950542,612.9,0,1,0
59150407005,59150407,272,630211964,709.4,0,1,0
59150408001,59150408,288,8429501997,227.2,1,1,0
59150408002,59150408,422,8522261016,550.9,0,1,0
59150409001,59150409,328,10776432612,353.6,1,1,0
59150409002,59150409,152,2867950540,612.4,0,1,0
59150410002,59150410,188,4993500740,345.7,1,1,0
59150410003,59150410,389,3615853899,415.9,0,1,0
59150410004,59150410,0,8117299821,99.8,1,1,0
59150410005,59150410,162,3947187720,159.3,1,1,0
59150412001,59150412,252,8558716614,355.0,1,1,0
59150412002,59150412,93,3371163957,635.4,0,1,0
59150412003,59150412,95,629871080,336.6,1,1,0
59150414001,59150414,178,629870955,311.4,1,1,0
59150414002,59150414,198,629870963,222.6,1,1,0
59150414003,59150414,207,8522260995,178.3,1,1,0
59150415001,59150415,215,630211660,317.8,1,1,0
59150415002,59150415,86,8117299768,319.1,1,1,0
59150415003,59150415,162,8558750069,313.4,1,1,0
59150415004,59150415,99,8522343592,169.9,1,1,0
59150415005,59150415,106,630210812,65.7,1,1,0
59150415006,59150415,139,630210816,102.5,1,1,0
59150416001,59150416,116,629870800,233.1,1,1,0
59150416002,59150416,123,629870815,313.6,1,1,0
59150416003,59150416,121,8570469193,198.5,1,1,0
59150416004,59150416,114,629870942,61.5,1,1,0
59150416005,59150416,123,12573165764,112.8,1,1,0
59150417001,59150417,102,8572659807,556.8,0,1,0
59150417003,59150417,140,8572659789,536.8,0,1,0
59150417005,59150417,297,9680915331,235.2,1,1,0
59150419001,59150419,164,8558750017,345.0,1,1,0
59150419002,59150419,82,6237270612,249.8,1,1,0
59150419003,59150419,48,2900277598,0.0,1,1,0
59150419004,59150419,158,431015331,5.6,1,1,0
59150420001,59150420,220,1069877063,452.7,0,1,0
59150420002,59150420,310,3528890158,391.3,1,1,0
59150421001,59150421,630,6720390251,0.0,1,1,0
59150422001,59150422,34,570255118,495.9,0,1,0
59150422002,59150422,333,343347228,602.1,0,1,0
59150422003,59150422,58,570254999,497.4,0,1,0
59150422004,59150422,218,2898597050,395.0,1,1,0
59150422005,59150422,173,568233841,318.0,1,1,0
59150422006,59150422,80,7483907197,333.7,1,1,0
59150423001,59150423,131,630971593,293.6,1,1,0
59150423002,59150423,157,630971583,194.4,1,1,0
59150423003,59150423,122,630971574,96.8,1,1,0
59150423004,59150423,104,630971560,97.4,1,1,0
59150423005,59150423,0,8034568074,534.7,0,1,0
59150424001,59150424,303,2884758362,151.2,1,1,0
59150424003,59150424,31,8034568088,364.8,1,1,0
59150424004,59150424,62,2884758353,138.3,1,1,0
59150424007,59150424,188,12865807270,117.3,1,1,0
59150424008,59150424,299,568233864,257.1,1,1,0
59150425005,59150425,82,430410033,420.7,0,1,0
59150425007,59150425,97,568233969,207.9,1,1,0
59150425008,59150425,71,8023502649,439.7,0,1,0
59150425009,59150425,164,3275128427,350.2,1,1,0
59150426001,59150426,74,6417361910,71.5,1,1,0
59150426004,59150426,147,568233983,70.1,1,1,0
59150426005,59150426,128,13339429473,193.1,1,1,0
59150426007,59150426,336,665116670,200.4,1,1,0
59150427001,59150427,65,567157507,305.4,1,1,0
59150427002,59150427,73,567157496,215.3,1,1,0
59150427003,59150427,165,12863626908,295.2,1,1,0
59150427004,59150427,93,2930653888,117.1,1,1,0
59150427005,59150427,69,567157464,268.4,1,1,0
59150427006,59150427,88,8511691505,149.6,1,1,0
59150428003,59150428,66,8511691468,39.7,1,1,0
59150428004,59150428,142,567157544,93.7,1,1,0
59150428005,59150428,111,567157534,187.5,1,1,0
59150428006,59150428,103,567157523,281.2,1,1,0
59150428007,59150428,178,11757195361,0.0,1,1,0
59150429001,59150429,177,567157452,369.7,1,1,0
59150429002,59150429,91,567157457,493.7,0,1,0
59150429003,59150429,187,12577129334,569.4,0,1,0
59150429004,59150429,119,567157400,373.5,1,1,0
59150430002,59150430,93,630971928,551.5,0,1,0
59150430003,59150430,121,11055382308,595.5,0,1,0
59150430004,59150430,119,13087476078,640.1,0,1,0
59150430006,59150430,191,11256105430,617.0,0,1,0
59150431002,59150431,110,631286999,495.4,0,1,0
59150431003,59150431,106,631286907,497.6,0,1,0
59150431004,59150431,42,3612153123,441.4,0,1,0
59150431005,59150431,158,631287011,388.1,1,1,0
59150431006,59150431,130,567157416,373.3,1,1,0
59150431009,59150431,86,631287006,460.6,0,1,0
59150432002,59150432,124,11253926281,337.2,1,1,0
59150432003,59150432,101,631286885,445.5,0,1,0
59150432004,59150432,109,631286801,123.7,1,1,0
59150432005,59150432,0,10030599721,469.7,0,1,0
59150432006,59150432,524,6251094560,465.2,0,1,0
59150433001,59150433,124,2632835924,466.3,0,1,0
59150433002,59150433,106,630971841,375.0,1,1,0
59150433003,59150433,115,630971831,282.8,1,1,0
59150433004,59150433,121,12588930944,255.8,1,1,0
59150434001,59150434,153,631286666,319.2,1,1,0
59150434002,59150434,136,2947337244,481.8,0,1,0
59150434003,59150434,205,5474717623,92.9,1,1,0
59150435001,59150435,154,630971768,333.9,1,1,0
59150435002,59150435,136,630971728,283.7,1,1,0
59150435003,59150435,270,9932766309,430.7,0,1,0
59150436001,59150436,129,8433051763,369.9,1,1,0
59150436002,59150436,223,5474717615,329.9,1,1,0
59150436003,59150436,455,10977331743,259.1,1,1,0
59150436004,59150436,66,10185112329,241.7,1,1,0
59150437001,59150437,62,2863471988,500.0,0,1,0
59150437003,59150437,203,8584527019,384.9,1,1,0
59150437004,59150437,103,12613604097,592.2,0,1,0
59150437005,59150437,74,631286467,177.5,1,1,0
59150437006,59150437,77,2882839052,428.3,0,1,0
59150437007,59150437,693,2852190672,435.9,0,1,0
59150438001,59150438,244,631286638,360.3,1,1,0
59150438002,59150438,245,10727841235,76.6,1,1,0
59150438003,59150438,368,10727841235,76.6,1,1,0
59150439001,59150439,97,5910598981,148.1,1,1,0
