DAUID,DGUID,LANDAREA,PRUID,db_count,db_pop_total,db_pop_reach_400,db_pop_reach_800,DA_reach_400,DA_reach_800,n_unique_parks,area_raw,area_cap20,area_cap10,qty_raw,qty_cap20,qty_cap10,reach_cat,qty_cat,supply_type,salience,satisfaction_sentiment,satisfaction_star,coverage_pct,n_reachable_parks,n_qualifying_parks,experience_hi,divergence_type,supply_binary,divergence_2x2,medhhinc,pop_total,pct_visible_minority,pct_age_65plus,pct_LIM_AT,pct_immigrant,pct_bachelor_plus,inc_LIM_AT,inc_totalpop,immigrant_immigrant,immigrant_totalpop,education_bachelor_plus,education_totalpop,ale16_08,inc_stratum,vm_stratum,age_stratum,limat_stratum,immigrant_stratum,edu_stratum,ale_stratum
59150342,2021S051259150342,0.0803,59,6.0,461.0,350.0,461.0,0.7592190889370932,1.0,1,1.93,1.93,1.93,4.1929,4.1929,4.1929,0,0,LL,140.9978,0.6898,4.3,100.0,1,1,0,LL_low_exp,0,LL,95000.0,461.0,51.2,21.7,18.9,43.5,42.5,35.0,185.0,185.0,425.0,155.0,365.0,209.0,Middle income,High VM (>50%),Older (>20% 65+),Low poverty (<20%),Mid immigrant (30-50%),Mid education (30-50%),High ALE
59150343,2021S051259150343,0.0607,59,5.0,470.0,83.0,470.0,0.176595744680851,1.0,2,1.78,1.78,1.78,3.796,3.796,3.796,0,0,LL,3255.3191,0.5361,4.2,100.0,2,2,0,LL_low_exp,0,LL,85000.0,470.0,17.7,21.3,15.8,23.8,58.6,30.0,190.0,75.0,315.0,170.0,290.0,215.0,Middle income,Low VM (<20%),Older (>20% 65+),Low poverty (<20%),Low immigrant (<30%),High education (>50%),High ALE
59150344,2021S051259150344,0.0582,59,3.0,480.0,443.0,480.0,0.9229166666666668,1.0,1,0.89,0.89,0.89,1.8554,1.8554,1.8554,1,0,HL,195.8333,0.5775,4.3,100.0,1,1,0,HL_low_exp,0,LL,100000.0,480.0,21.3,14.6,11.6,25.3,59.0,25.0,215.0,120.0,475.0,230.0,390.0,201.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Low poverty (<20%),Low immigrant (<30%),High education (>50%),High ALE
59150345,2021S051259150345,0.0853,59,6.0,597.0,597.0,597.0,1.0,1.0,3,1.9,1.9,1.9,3.178,3.178,3.178,1,0,HL,18113.9028,0.6292,4.368,100.0,3,3,0,HL_low_exp,0,LL,86000.0,597.0,16.1,9.2,18.3,21.0,49.5,55.0,300.0,125.0,595.0,260.0,525.0,203.0,Middle income,Low VM (<20%),Young (<10% 65+),Low poverty (<20%),Low immigrant (<30%),Mid education (30-50%),High ALE
59150346,2021S051259150346,0.069,59,5.0,409.0,409.0,409.0,1.0,1.0,2,1.78,1.78,1.78,4.3622,4.3622,4.3622,1,0,HL,3740.8313,0.5361,4.2,100.0,2,2,0,HL_low_exp,0,LL,99000.0,409.0,20.5,8.6,16.2,22.7,41.5,30.0,185.0,100.0,440.0,170.0,410.0,211.0,Middle income,Mid VM (20-50%),Young (<10% 65+),Low poverty (<20%),Low immigrant (<30%),Mid education (30-50%),High ALE
59150347,2021S051259150347,0.0657,59,5.0,504.0,504.0,504.0,1.0,1.0,3,2.01,2.01,2.01,3.9852,3.9852,3.9852,1,0,HL,3035.7143,0.5361,4.2,100.0,2,2,0,HL_low_exp,0,LL,67000.0,504.0,16.7,9.9,29.8,13.1,39.5,85.0,285.0,55.0,420.0,150.0,380.0,207.0,Middle income,Low VM (<20%),Young (<10% 65+),Mid poverty (20-35%),Low immigrant (<30%),Mid education (30-50%),High ALE
59150348,2021S051259150348,0.0392,59,3.0,529.0,529.0,529.0,1.0,1.0,4,2.12,2.12,2.12,4.0107,4.0107,4.0107,1,0,HL,20442.344,0.6292,4.368,100.0,3,3,0,HL_low_exp,0,LL,81000.0,529.0,13.6,12.3,15.0,15.1,58.8,45.0,300.0,90.0,595.0,300.0,510.0,192.0,Middle income,Low VM (<20%),Mid age (10-20% 65+),Low poverty (<20%),Low immigrant (<30%),High education (>50%),High ALE
59150349,2021S051259150349,0.0358,59,4.0,420.0,420.0,420.0,1.0,1.0,3,1.23,1.23,1.23,2.9311,2.9311,2.9311,1,0,HL,25523.8095,0.6551,4.402,100.0,2,2,0,HL_low_exp,0,LL,72000.0,420.0,30.8,15.5,30.2,31.1,53.6,65.0,215.0,140.0,450.0,185.0,345.0,199.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Mid poverty (20-35%),Mid immigrant (30-50%),High education (>50%),High ALE
59150350,2021S051259150350,0.102,59,8.0,511.0,337.0,511.0,0.6594911937377691,1.0,3,1.23,1.23,1.23,2.4091,2.4091,2.4091,0,0,LL,20978.4736,0.6551,4.402,100.0,2,2,0,LL_low_exp,0,LL,42400.0,511.0,26.1,14.7,58.2,23.7,17.6,160.0,275.0,110.0,465.0,75.0,425.0,203.0,Low income,Mid VM (20-50%),Mid age (10-20% 65+),High poverty (>35%),Low immigrant (<30%),Low education (<30%),High ALE
59150351,2021S051259150351,0.0283,59,2.0,459.0,459.0,459.0,1.0,1.0,3,1.23,1.23,1.23,2.6821,2.6821,2.6821,1,0,HL,23355.1198,0.6551,4.402,100.0,2,2,0,HL_low_exp,0,LL,79000.0,459.0,24.4,9.8,15.4,23.0,51.8,40.0,260.0,100.0,435.0,215.0,415.0,218.0,Middle income,Mid VM (20-50%),Young (<10% 65+),Low poverty (<20%),Low immigrant (<30%),High education (>50%),High ALE
